name,spk,mgspk,mgspkerr,r56,err56,r54,err54,r57,err57,r58,err58,r52,err52
Col-1-L1,G2,4,3,415.8,0.23,5316.89,0.9,486.71,0.31,200.86,0.25,0.9897,0.03
Col-2-L1,G2,4,3,60.8,0.69,1035.91,0.77,69.61,0.7,28.81,0.62,0.9915,0.02
Col-3-L1,G2,4,3,271.96,0.45,3818.04,0.69,315.59,0.44,129.93,0.45,0.9905,0.02
Col-4-L1,G2,4,3,424.8,0.24,5422.75,0.49,491.59,0.35,204.11,0.24,0.9933,0.03
Col-1-L2,G2,4,3,397.94,0.26,5046.88,1.09,459.95,0.45,193.1,0.25,0.9896,0.02
Col-2-L2,G2,4,3,411.51,0.32,5339.25,1.16,483.84,0.22,200.7,0.29,0.99,0.04
Col-3-L2,G2,4,3,384.41,0.24,5043.86,0.86,450.88,0.21,185.84,0.14,0.9927,0.02
Col-4-L2,G2,4,3,442.27,0.37,5618.09,0.92,511.8,0.45,213.46,0.28,0.99,0.03
Col-1-L3,G2,4,3,411.21,0.82,4698.02,2.13,475.19,0.81,197.93,0.43,0.9905,0.04
Col-2-L3,G2,4,3,403.62,0.26,5510.3,1.08,502.73,0.3,209.26,0.15,0.9911,0.02
Col-3-L3,G2,4,3,304.15,0.64,4068.68,0.84,350.76,0.56,145.41,0.62,0.9908,0.02
Col-4-L3,G2,4,3,452.68,0.37,5399.2,1.39,530.25,0.54,221.89,0.31,0.9909,0.03
Col-1-L4,G2,4,3,428.61,0.2,5365.1,0.63,507.19,0.34,208.49,0.17,0.992,0.02
Col-2-L4,G2,4,3,245.03,0.32,3508.91,0.95,283.34,0.32,117.18,0.22,0.9908,0.03
Col-3-L4,G2,4,3,520.51,0.35,6089.87,1.37,611.7,0.51,252.3,0.32,0.9917,0.03
Col-4-L4,G2,4,3,395.08,0.45,5207.08,0.56,465.49,0.61,191.07,0.56,0.9922,0.02
